no,petition_id,title,url,Category1,Category2,Category3,Category4,Category5
40,4492968,Stop the Rot! End supply chain food waste,https://api.change.org/p/stop-the-rot-end-supply-chain-food-waste,Business greed,Global,Food,,
41,3178211,President Obama and Congress: A Call To Legalize Lyme Disease,https://api.change.org/p/president-obama-and-congress-a-call-to-legalize-lyme-disease,National,Political,Health and Safety,,
42,1450343,Barack Obama: Crack Down on Deadbeat Dams,https://api.change.org/p/barack-obama-crack-down-on-deadbeat-dams,National,Wildlife,,,
43,8031566,Sign the Pledge: I Stand With Nature,https://api.change.org/p/sign-the-pledge-i-stand-with-nature,Global,Paris Agreement,Clean energy,,
44,967358,Restore our Water,https://api.change.org/p/restore-our-water-2,Global,Water,,,
45,9639758,Demand President-Elect Trump Include Climate Action in His Presidency,https://api.change.org/p/demand-president-elect-trump-include-climate-action-in-his-presidency,National,Political,US Elections,,
46,8060762,Pledge: Thanks Woolies: now I can help stop climate change with my cuppa,https://api.change.org/p/pledge-thanks-woolies-now-i-can-help-stop-climate-change-with-my-cuppa,Global,Environment,,,
47,8115929,Govenor Rick Scott: Save the Florida Manatee,https://api.change.org/p/govenor-rick-scott-save-the-florida-manatee,National,Political,Wildlife,,
48,8059073,Big Polluters are SUING the EPA over the Clean Power Plan. Fight back today!,https://api.change.org/p/big-polluters-are-suing-the-epa-over-the-clean-power-plan-fight-back-today-2,National,Pollution ,Clean energy,,
49,6677147,"PM Malcolm Turnbull: Our Great Barrier Reef needs renewable energy, not dirty coal",https://api.change.org/p/pm-malcolm-turnbull-our-great-barrier-reef-needs-renewable-energy-not-dirty-coal,Global,Clean energy,,,
50,7368137,Big Polluters are SUING the EPA over the Clean Power Plan. Fight back today!,https://api.change.org/p/big-polluters-are-suing-the-epa-over-the-clean-power-plan-fight-back-today,National,Pollution ,Clean energy,,
51,4291664,"Sir Michael Dixon, director, Natural History Museum, London: Save the Natural History Museum's wildlife garden",https://api.change.org/p/sir-michael-dixon-director-natural-history-museum-london-save-the-natural-history-museum-s-wildlife-garden,Global,Wildlife,Environment,,
52,7941503,.@anilmdave Indian Govt: Say NO to GM Mustard!,https://api.change.org/p/anilmdave-indian-govt-say-no-to-gm-mustard,Business greed,Global,,,
53,8281676,Pinarayi Vijayan: Urgent necessity to stop the culling of stray dogs in Kerala,https://api.change.org/p/pinarayi-vijayan-urgent-necessity-to-stop-the-culling-of-stray-dogs-in-kerala,Global,Animal Rights,,,
54,3784108,Change climate change,https://api.change.org/p/change-climate-change,National,Global,Political,,
55,2669596,Joe Hockey: Put an end to big polluter handouts,https://api.change.org/p/joe-hockey-put-an-end-to-big-polluter-handouts,Global,Pollution,,,
56,5883234,Ben & Jerry's: Bring your vegan line of ice creams to the UK.,https://api.change.org/p/ben-jerry-s-bring-your-vegan-line-of-ice-creams-to-the-uk,Global,Animal Rights,,,
57,5969574,Justin Trudeau: Ban Plastic Bags in Canada,https://api.change.org/p/justin-trudeau-ban-plastic-bags-in-canada,Global,Political,Plastic,,
58,8168531,NATIONAL GEOGRAPHIC: PROMOTE VEGANISM TO FIGHT CLIMATE CHANGE,https://api.change.org/p/national-geographic-promote-veganism-to-fight-climate-change,Vegan Diet,Animal Rights,,,
59,8285537,Polar Bear,https://api.change.org/p/polar-bear,Wildlife,,,,
60,2669756,Joe Hockey: Stop mining the public purse to pay big polluters,https://api.change.org/p/joe-hockey-stop-mining-the-public-purse-to-pay-big-polluters-2,Pollution,Clean energy,Global,,
61,7616510,Airplane pollution endangers wildlife habitats. Emissions must be capped.,https://api.change.org/p/airplane-pollution-endangers-wildlife-habitats-emissions-must-be-capped,Wildlife,Pollution,National,Political,
62,7838051,I'm With Her on the Environment,https://api.change.org/p/i-m-with-her-on-the-environment,National,Political,US Elections,,
63,8955452,Council of the European Union: Impose economic sanctions on the US if it withdraws from the COP21 Paris Climate Agreement,https://api.change.org/p/council-of-the-european-union-impose-economic-sanctions-on-the-us-if-it-withdraws-from-the-cop21-paris-climate-agreement,Paris Agreement,Global,National,,
64,4791766,Canada's adoption of the UN Protocol on the Rights of Persons with Disabilities is long overdue.,https://api.change.org/p/canada-s-adoption-of-the-un-protocol-on-the-rights-of-persons-with-disabilities-is-long-overdue,Global,Human Rights,,,
65,8359514,Wolverines,https://api.change.org/p/wolverines,National,Wildlife,,,
66,26179,Don’t Let the Senate Sneak Offshore Drilling into the Climate Change Bill,https://api.change.org/p/don-t-let-the-senate-sneak-offshore-drilling-into-the-climate-change-bill,National,Political,Ocean,,
67,8565509,Tell the world’s 6th largest economy to divest from animal agriculture,https://api.change.org/p/tell-the-world-s-6th-largest-economy-to-divest-from-animal-agriculture,Wildlife,Animal Rights,Global,,
68,1131525,United Nations: BAN Trophy Hunting. STOP Imports,https://api.change.org/p/united-nations-ban-trophy-hunting-stop-imports,Wildlife,Animal Rights,Global,,
69,6116114,Take a stand to protect North Carolina’s birds from a changing climate,https://api.change.org/p/take-a-stand-to-protect-north-carolina-s-birds-from-a-changing-climate,National,Wildlife,,,
70,8582606,"Tell the Media: You Can Try, but We Won’t Ignore Climate Change",https://api.change.org/p/tell-the-media-you-can-try-but-we-won-t-ignore-climate-change,National,Business greed,,,
71,7270040,"Animal welfare board of India: Remove Prakash Javadekar as Minister of state for Environment, Forests and Climate change",https://api.change.org/p/animal-welfare-board-of-india-remove-prakash-javadekar-as-minister-of-state-for-environment-forests-and-climate-change,Global,Animal Rights,,,
72,7838069,Tell the GOP: Coal is NOT CLEAN ENERGY,https://api.change.org/p/tell-the-gop-coal-is-not-clean-energy,National,Political,Clean energy,,
73,6382859,Travelocity CEO : Create an 'Offset Co2 emissions' button on the Travelocity website,https://api.change.org/p/travelocity-ceo-create-an-offset-co2-emissions-button-on-the-travelocity-website,Business greed,Clean energy,,,
74,1248173,Say No To Oil Rigs In The Algarve - Diz Não Às Plataformas De Petróleo No Algarve,https://api.change.org/p/say-no-to-oil-rigs-in-the-algarve-diz-n%C3%A3o-%C3%A0s-plataformas-de-petr%C3%B3leo-no-algarve,Clean energy,Ocean,Global,,
75,6386147,"The Montana Department of Natural Resources and Conservation: Stop Montana Artesian Water Co. from forming a water bottling plant in Creston, MT",https://api.change.org/p/the-montana-department-of-natural-resources-and-conservation-stop-montana-artesian-water-co-from-forming-a-water-bottling-plant-in-creston-mt,National,Water,Political,Wildlife,
76,2686886,No more excuses: demand responsible leadership on climate change,https://api.change.org/p/no-more-excuses-demand-responsible-leadership-on-climate-change,Global,,,,
77,9669602,Tell your Elected Officials: Scott Pruitt is a Dangerous EPA Nominee,https://api.change.org/p/tell-your-elected-officials-scott-pruitt-is-a-dangerous-epa-nominee,National,Political,Environment,,
78,6472346,Stop fossil fuel polluters today,https://api.change.org/p/stop-fossil-fuel-polluters-today,Global,Pollution,,,
79,2269431,Ed Abelite: Stop Newby Island Landfill Expansion--garbage can't be put above people!,https://api.change.org/p/ed-abelite-stop-newby-island-landfill-expansion-garbage-can-t-be-put-above-people,Landscapes and forests,Health and Safety,,,
80,9747797,Fight back against the anti-environmental Trump administration and polluting leadership,https://api.change.org/p/fight-back-against-the-anti-environmental-trump-administration-and-polluting-leadership,National,Political,Environment,,
81,6732644,Here are 7 reasons the White House should go vegan for Earth Day!,https://api.change.org/p/here-are-7-reasons-the-white-house-should-go-vegan-for-earth-day,National,Political,Vegan Diet,,
82,8554376,US Department of Education: Teach Climate Change Better,https://api.change.org/p/us-department-of-education-teach-climate-change-better,National,Political,Water,Global,
83,6925814,Barack Obama: Call on President Obama to help Mekong People save the Mekong: Climate Change/Development,https://api.change.org/p/barack-obama-call-on-president-obama-to-help-mekong-people-save-the-mekong-climate-change-development,National,Political,Water,Global,
84,7486769,"Ban Ki-moon (Secretary-General of the United Nations): # Protect Zimbabweans pursuing their liberation 
#thisflag",https://api.change.org/p/ban-ki-moon-secretary-general-of-the-united-nations-protect-zimbabweans-pursuing-their-liberation-thisflag,Global,,,,
85,6840563,Cut Air Pollution Above America's Most Precious Landscapes,https://api.change.org/p/cut-air-pollution-above-america-s-most-precious-landscapes,National,Landscapes and forests,Air Pollution,Political,
86,7390469,Bengaluru is Turning Unlivable  - Government Must Act! #ChangeBengaluru,https://api.change.org/p/bengaluru-is-turning-unlivable-government-must-act-changebengaluru,Global,Environment,,,
87,8844161,Show your opposition to Trump's climate change-related plans,https://api.change.org/p/show-your-opposition-to-trump-s-climate-change-related-plans,National,Political,,,
88,7368011,Tell President Obama to Stop New Offshore Drilling – Permanently!,https://api.change.org/p/tell-president-obama-to-stop-new-offshore-drilling-permanently,National,Clean energy,Ocean,Political,Wildlife
89,6250925,For Peat's sake! Stop the burning & development on peat! #XtheHaze #togetherpossible,https://api.change.org/p/for-peat-s-sake-stop-the-burning-development-on-peat-xthehaze-togetherpossible,Global,Landscapes and forests,,,
90,8303288,Demand that the debate moderators ask the presidential candidates about climate change!,https://api.change.org/p/demand-that-the-debate-moderators-ask-the-presidential-candidates-about-climate-change,National,Political,US Elections,,
91,8887388,U.S. Senate: Raise Awareness Towards Climate Change,https://api.change.org/p/u-s-senate-raise-awareness-towards-climate-change,National,Political,,,
92,1290317,"TO: Nuclear Regulatory Commission, Department of Energy: To grant licenses for meltdown proof Liquid Fluoride Thorium Reactors to reduce the impact of climate change, reduce nuclear waste and produce leukemia fighting isotopes",https://api.change.org/p/to-nuclear-regulatory-commission-department-of-energy-to-grant-licenses-for-meltdown-proof-liquid-fluoride-thorium-reactors-to-reduce-the-impact-of-climate-change-reduce-nuclear-waste-and-produce-leukemia-fighting-isotopes,National,Political,Nuke,,
93,7288691,Environmental Protection Agency: End Deforestation in the U.S.,https://api.change.org/p/environmental-protection-agency-end-deforestation-in-the-u-s,National,Political,Landscapes and forests,,
94,2390241,Malaysians Say NO!  To CLIMATE CHANGE,https://api.change.org/p/malaysians-say-no-to-climate-change,Global,,,,
95,8740766,President of the United States: Acknowledge the Reality of Climate Change,https://api.change.org/p/president-of-the-united-states-acknowledge-the-reality-of-climate-change,National,Political,,,
96,24265,climate fraud,https://api.change.org/p/climate-fraud,National,Political,Clean energy,Environment,
97,7039751,"PM Malcolm Turnbull: Our Great Barrier Reef needs renewable energy, not dirty coal",https://api.change.org/p/pm-malcolm-turnbull-our-great-barrier-reef-needs-renewable-energy-not-dirty-coal-2,Global,Clean energy,,,
98,6410918,Premier Andrews: Victorians say no to dirty coal projects,https://api.change.org/p/premier-andrews-victorians-say-no-to-dirty-coal-projects-3,Global,Clean energy,,,
99,25407,stop climate change = health,https://api.change.org/p/stop-climate-change-health,National,Political,Health and Safety,,
100,25287,act on climate change,https://api.change.org/p/act-on-climate-change,Global,Environment,,,
101,8096486,Ban the sale of Coral damaging sunscreen in Hawaii,https://api.change.org/p/ban-the-sale-of-coral-damaging-sunscreen-in-hawaii,National,Wildlife,,,
102,8032001,"As America Suffers from Extreme Weather, Climate Action is Under Attack.",https://api.change.org/p/as-america-suffers-from-extreme-weather-climate-action-is-under-attack,National,Fires,Clean energy,,
103,9786359,Donald Trump: Continue sensible measures to address climate change.,https://api.change.org/p/donald-trump-continue-sensible-measures-to-address-climate-change,National,Political,US Elections,,
104,25532,Act for climate,https://api.change.org/p/act-for-climate,National,Global,Environment,,
105,3792928,"Amnesty International: Vote NO to Decriminalizing Pimps, Brothel Owners, and Buyers of Sex.",https://api.change.org/p/amnesty-international-vote-no-to-decriminalizing-pimps-brothel-owners-and-buyers-of-sex,Sex Trafficking,Human Rights,,,
106,7350032,Tell the EPA to propose national methane pollution limits on existing oil & gas facilities,https://api.change.org/p/tell-the-epa-to-propose-national-methane-pollution-limits-on-existing-oil-gas-facilities,Clean energy,Wildlife,Pollution,,
107,6975128,This election call for leaders who protect our Reef,https://api.change.org/p/this-election-call-for-leaders-who-protect-our-reef-2,Wildlife,Global,Political,,
108,7951289,California Governor: Declare Climate Change a Major Disaster before it's too late,https://api.change.org/p/california-governor-declare-climate-change-a-major-disaster-before-it-s-too-late,National,Weather,,,
109,9785450,"Governor Cuomo: Governor Cuomo, STOP Spectra Energy's Atlantic Bridge pipeline, the next segment after AIM",https://api.change.org/p/governor-cuomo-governor-cuomo-stop-spectra-energy-s-atlantic-bridge-pipeline-the-next-segment-after-aim,National,Clean energy,,,
110,8749619,Mr Donald Trump: America Must Act on Climate Change,https://api.change.org/p/mr-donald-trump-america-must-act-on-climate-change,National,Political,,,
111,7668350,Premier Andrews: Victorians say no to dirty coal projects,https://api.change.org/p/premier-andrews-victorians-say-no-to-dirty-coal-projects-6,Global,Clean Energy,,,
112,4686258,@JustinTrudeau-End the Seal Slaughter in Canada permanently,https://api.change.org/p/justintrudeau-end-the-seal-slaughter-in-canada-permanently,Global,,,,
113,8941670,Ilya Sheyman: We need the biggest demonstration in U.S. history before December 19th,https://api.change.org/p/ilya-sheyman-we-need-the-biggest-demonstration-in-u-s-history-before-december-19th,National,Political,US Elections,,
114,6115998,Support clean energy to protect Ohio’s birds,https://api.change.org/p/support-clean-energy-to-protect-ohio-s-birds,National,Clean energy,,,
115,8875883,G1Quantum: Fight Climate Change,https://api.change.org/p/g1quantum-fight-climate-change,Clean energy,Global,,,
116,3754784,Premier Andrews: Victorians say no to dirty coal projects,https://api.change.org/p/premier-andrews-victorians-say-no-to-dirty-coal-projects-2,Global,Clean energy,,,
117,6326276,CA State Water Resources Control Board: Stop the Twin Tunnels in California!,https://api.change.org/p/ca-state-water-resources-control-board-stop-the-twin-tunnels-in-california,Water,National,,,
118,8847275,"Ben Morton MP: change the climate, save the reef.",https://api.change.org/p/ben-morton-mp-change-the-climate-save-the-reef,Wildlife,Global,,,
119,3483637,"Congress: Ease the DEA's grip on doctors, allowing chronic pain patients to get the medications we need.",https://api.change.org/p/congress-ease-the-dea-s-grip-on-doctors-allowing-chronic-pain-patients-to-get-the-medications-we-need,Health and Safety,National,,,
120,8795933,President-elect Trump: Keep fossil fuel industry funded climate change deniers like Myron Ebell away from the EPA,https://api.change.org/p/president-elect-trump-keep-fossil-fuel-industry-funded-climate-change-deniers-like-myron-ebell-away-from-the-epa,National,Political,Clean energy,,
121,8350400,Honor the Fort Laramie Treaties,https://api.change.org/p/honor-the-fort-laramie-treaties,National,Political,Clean energy,Human Rights,
122,7110248,Support Public lands for ALL Americans,https://api.change.org/p/support-public-lands-for-all-americans,National,Landscapes and forests,,,
123,3986600,Burning Man: Be A Leader In Sustainability and Innovation,https://api.change.org/p/burning-man-be-a-leader-in-sustainability-and-innovation,National,Sustainability,,,
124,6825512,Stop the cuts to America’s space program,https://api.change.org/p/stop-the-cuts-to-america-s-space-program,National,,,,
125,9054401,Save the Mt. Davidson Forest in San Francisco,https://api.change.org/p/save-the-mt-davidson-forest-in-san-francisco,Landscapes and forests,Wildlife,,,
126,7040072,Melbourne - stand up for our Reef,https://api.change.org/p/melbourne-stand-up-for-our-reef,Global,Wildlife,,,
127,8771870,Sign to Tell Donald Trump: It's Time To Accept that Climate Change is Real,https://api.change.org/p/sign-to-tell-donald-trump-it-s-time-to-accept-that-climate-change-is-real,National,Political,,,
128,6562343,NSW Premier - Mike Baird: Ban Plastic Bags in NSW,https://api.change.org/p/nsw-premier-mike-baird-ban-plastic-bags-in-nsw,Animal Rights,Wildlife,Global,,
129,7278359,Stuttgart Integrative Health & Medicine Declaration,https://api.change.org/p/stuttgart-integrative-health-medicine-declaration,Global,Health and Safety,,,
130,7142138,Tell President Obama to put children first,https://api.change.org/p/tell-president-obama-to-put-children-first,National,Political,Human rights,,
131,8759768,Congress/President Elect Trump: Keep the Paris Climate Accord.,https://api.change.org/p/congress-president-elect-trump-keep-the-paris-climate-accord,National,Political,Paris Agreement,US Elections,
132,7211267,Save Our Spaceship! Aussie kids ask for urgent action on climate change now!,https://api.change.org/p/save-our-spaceship-aussie-kids-ask-for-urgent-action-on-climate-change-now,Global,,,,
133,7570142,The Honorable Chief Minister T.R. Zeliang - State of Nagaland: INDIA - STOP THE BRUTAL KILLING OF DOGS FOR DOG MEAT,https://api.change.org/p/the-honorable-chief-minister-t-r-zeliang-state-of-nagaland-india-stop-the-brutal-killing-of-dogs-for-dog-meat,National,Human Rights,Wildlife,,
134,7952219,Tell Congress: No More Climate Change Deniers!,https://api.change.org/p/tell-congress-no-more-climate-change-deniers,National,Political,,,
135,23870,Congress must strengthen climate bill,https://api.change.org/p/congress-must-strengthen-climate-bill,National,Political,,,
136,8300672,Indian and Pakistani citizens speak out against war,https://api.change.org/p/indian-and-pakistani-citizens-speak-out-against-war,Global,Political,,,
137,7296692,"PM Malcolm Turnbull: Our Great Barrier Reef needs renewable energy, not dirty coal",https://api.change.org/p/pm-malcolm-turnbull-our-great-barrier-reef-needs-renewable-energy-not-dirty-coal-4,Clean energy,Wildlife,Global,,
138,1440243,Jerry Brown: Don't frack up California!,https://api.change.org/p/jerry-brown-don-t-frack-up-california,National,Political,Wildlife,Clean Energy,
139,4713506,Prime Minster Malcom Turnbull: Products containing palm oil to be labelled,https://api.change.org/p/prime-minster-malcom-turnbull-products-containing-palm-oil-to-be-labelled,Clean energy,Wildlife,Global,,
140,8722802,World leaders who have signed the Paris Agreement: Stop Donald Trump destroying the planet by cancelling the Paris Climate Change Agreement,https://api.change.org/p/world-leaders-who-have-signed-the-paris-agreement-stop-donald-trump-destroying-the-planet-by-cancelling-the-paris-climate-change-agreement,National,Political,Paris Agreement,Global,
141,1163924,Stop cruel kangaroo massacre implicated by pet food company Purina,https://api.change.org/p/stop-cruel-kangaroo-massacre-implicated-by-pet-food-company-purina,Global,Animal Rights,,,
142,8090969,Climate Change  : PRIORITIZE AND START THE CHANGE,https://api.change.org/p/climate-change-prioritize-and-start-the-change,Global,Clean energy,,,
143,6596546,Move Massachusetts to a Clean Energy Future,https://api.change.org/p/move-massachusetts-to-a-clean-energy-future,National,Clean energy,,,
144,8851199,President Uhuru Kenyatta: Ban plastic bags in kenya,https://api.change.org/p/president-uhuru-kenyatta-ban-plastic-bags-in-kenya,Global,Environment,,,
145,8780741,Unione Europea e Stati Membri: Fate pressione su Trump affinchè rispetti il Trattato sul Clima di Parigi!,https://api.change.org/p/unione-europea-e-stati-membri-fate-pressione-su-trump-affinch%C3%A8-rispetti-il-trattato-sul-clima-di-parigi,National,Global,Political,,
146,5699578,Tell the AG to Put Colorado Kids Before Coal!,https://api.change.org/p/tell-the-ag-to-put-colorado-kids-before-coal,National,Human Rights,Clean energy,,
147,8257991,Barack Obama: Open Letter on Implementing and Strengthening the Paris Agreement on Climate Change,https://api.change.org/p/barack-obama-open-letter-on-implementing-and-strengthening-the-paris-agreement-on-climate-change,National,Political,Paris Agreement,,
148,8797904,Donald Trump: President-Elect Donald Trump: Reevaluate your views on Climate Change,https://api.change.org/p/donald-trump-president-elect-donald-trump-reevaluate-your-views-on-climate-change,National,Political,US Elections,,
149,7140545,We Are In a Global Warming State of Emergency,https://api.change.org/p/we-are-in-a-global-warming-state-of-emergency,National,Political,,,
150,6471476,Rescue Our Parks,https://api.change.org/p/rescue-our-parks,Landscapes and forests,Global,,,
151,1336350,Change the SUNY New Paltz Marijuana Policy,https://api.change.org/p/change-the-suny-new-paltz-marijuana-policy,Human  Rights,National,,,
152,7626761,Support renewable energy in Colorado!,https://api.change.org/p/support-renewable-energy-in-colorado,National,Clean energy,,,
153,3574339,"Le Maire de Pierrefonds-Roxboro et Le Maire de Montréal: Sauver l'espace vert de l'Anse-à-l'Orme, à Pierrefonds Ouest / Save L'Anse-à-l'Orme's natural green space, in Pierrefonds West",https://api.change.org/p/le-maire-de-pierrefonds-roxboro-et-le-maire-de-montr%C3%A9al-sauver-l-espace-vert-de-l-anse-%C3%A0-l-orme-%C3%A0-pierrefonds-ouest-save-l-anse-%C3%A0-l-orme-s-natural-green-space-in-pierrefonds-west,Global,Landscapes and forests,,,
154,36949,Support better than CLEAR Act for climate change,https://api.change.org/p/support-better-than-clear-act-for-climate-change,National,Political,,,
155,8740763,State Electors: Donald Trump Does NOT Have to Be President: State Electors Can Save The Country on 12/19,https://api.change.org/p/state-electors-donald-trump-does-not-have-to-be-president-state-electors-can-save-the-country-on-12-19,National,Political,US Elections,,
156,8054942,END SHARK CULLING IN AUSTRALIA,https://api.change.org/p/end-shark-culling-in-australia,Global,Wildlife,,,
157,7040474,Support Carbon Fee & Dividend Plan to reduce CO2 emissions & transition to a green economy,https://api.change.org/p/support-carbon-fee-dividend-plan-to-reduce-co2-emissions-transition-to-a-green-economy,Clean energy,National,Political,,
158,9868643,Return the original climate change information to the Wisconsin DNR website.,https://api.change.org/p/return-the-original-climate-change-information-to-the-wisconsin-dnr-website,National,,,,
159,7639016,Dear Donald,https://api.change.org/p/dear-donald,National,Political,,,
160,8822078,Donald Trump: President Trump: We ask that you honor the Paris Agreement on Climate Change.,https://api.change.org/p/donald-trump-president-trump-we-ask-that-you-honor-the-paris-agreement-on-climate-change,National,Political,Paris Agreement,,
161,5949750,Keep the heat on Trudeau! Ask him to help ratify the Paris Climate Agreement.,https://api.change.org/p/keep-the-heat-on-trudeau-ask-him-to-help-ratify-the-paris-climate-agreement,Global,Political,Paris Agreement,,
162,6312458,"UCF Student Government Association: Move ""An Afternoon With Bill Nye"" to the CFE arena",https://api.change.org/p/ucf-student-government-association-move-an-afternoon-with-bill-nye-to-the-cfe-arena,Education,National,,,
163,9046856,Jerry Brown: Respond to climate change now before it's too late,https://api.change.org/p/jerry-brown-respond-to-climate-change-now-before-it-s-too-late,National,Paris Agreement,,,
